Question,Answer,Category
What is the name of the University,The Federal University Oye-Ekiti;popularly known as FUOYE,University Structure
Where is the University,The University is located in Oye Community; Ekiti State,Campus
When was the University established,The University was established in 2011,University Structure
Who was the pioneer Vice-Chancellor,Professor Chinedu Ostadinma Nebo was the pioneer Vice-Chancellor,Achievements and Recognition
How many campuses does the University have,The University has two campuses located in Oye-Ekiti and Ikole-Ekiti,Campus
What is the University also known as,The University is also known as FUOYE,University Structure
What is the full meaning of FUOYE,FUOYE stands for Federal University Oye-Ekiti,University Structure
What is the name of the University,The name of the university is Federal University Oye-Ekiti,University Structure
Where is FUOYE,FUOYE is a university located in Nigeria at Ekiti State with multiple campuses around the state,Campus
What does FUOYE specialize in,FUOYE is a comprehensive university that offers a wide range of programs and courses,Academic Programs
What is the origin of FUOYE,FUOYE was established in 2011 by the Federal Government of Nigeria,University Structure
What is the mission of FUOYE,The mission of FUOYE is to provide quality education and contribute to the development of Nigeria through research; innovation; and community service,University Structure
What is the vision of FUOYE,The vision of FUOYE is to be a world-class university that is committed to excellence in teaching; research; and community service,University Structure
What are the core values of FUOYE,The core values of FUOYE include integrity; excellence; innovation; diversity; and social responsibility,Motto and Core Values
What is the motto of FUOYE,"The motto of FUOYE is ""For the Common Good""",Motto and Core Values
What are the campuses of FUOYE,FUOYE has campuses located in Oye-Ekiti; Ayegbaju and Ikole-Ekiti,Campus
What are the facilities available in FUOYE,FUOYE has state-of-the-art facilities including lecture halls; laboratories; libraries; hostels; and sports facilities,Campus
What are the academic programs offered in FUOYE,FUOYE offers a wide range of academic programs in various fields such as science; engineering; arts; social sciences; management; and education,Academic Programs
What is the admission process in FUOYE,The admission process in FUOYE involves the submission of an application form; meeting the minimum entry requirements; and passing the entrance examination,Graduation Requirements
What are the tuition fees in FUOYE,The tuition fees in FUOYE vary depending on the program and level of study,Fees and Finance
What are the student activities in FUOYE,FUOYE has various student activities such as clubs; societies; and sports teams,Academic Programs
What is the student population in FUOYE,The student population in FUOYE is over 15;000,Faculty
What is the faculty population in FUOYE,The faculty population in FUOYE is over 1;000,Faculty
What is the academic calendar in FUOYE,The academic calendar in FUOYE consists of two semesters per academic year,Academic Programs
Faculty of Agriculture,The Faculty of Agriculture is one of the 11 faculties in Federal University Oye-Ekiti; dedicated to providing quality education in the field of agriculture,Faculty
Faculty of Arts,The Faculty of Arts is one of the 11 faculties in Federal University Oye-Ekiti; offering a variety of courses in the arts,Faculty
Faculty of Basic Medical Sciences,The Faculty of Basic Medical Sciences is one of the 11 faculties in Federal University Oye-Ekiti; providing education in medical sciences,Faculty
Faculty of Education,The Faculty of Education is one of the 11 faculties in Federal University Oye-Ekiti; focused on producing well-rounded educators,Faculty
Faculty of Engineering,The Faculty of Engineering is one of the 11 faculties in Federal University Oye-Ekiti; offering courses in engineering and technology,Faculty
Faculty of Environmental Design and Management,The Faculty of Environmental Design and Management is one of the 11 faculties in Federal University Oye-Ekiti; providing education in environmental design and management,Faculty
Faculty of Law,The Faculty of Law is one of the 11 faculties in Federal University Oye-Ekiti; offering legal education,Faculty
Faculty of Management Science,The Faculty of Management Science is one of the 11 faculties in Federal University Oye-Ekiti; offering courses in management science,Faculty
Faculty of Pharmacy,The Faculty of Pharmacy is one of the 11 faculties in Federal University Oye-Ekiti; dedicated to providing education in pharmacy,Faculty
Faculty of Science,The Faculty of Science is one of the 11 faculties in Federal University Oye-Ekiti; offering courses in the field of science,Faculty
Faculty of Social Science,The Faculty of Social Science is one of the 11 faculties in Federal University Oye-Ekiti; providing education in social sciences,Faculty
Website of FUOYE,The website link for Federal University Oye-Ekiti is <http://FUOYE.edu.ng/en/>,Website and Portal
Number of Faculties in FUOYE,There are 11 faculties in Federal University Oye-Ekiti,Faculty
Names of Faculties in FUOYE,The names of the faculties in Federal University Oye-Ekiti are Agriculture; Arts; Basic Medical Sciences; Education; Engineering; Environmental Design and Management; Law; Management Science; Pharmacy; Science; and Social Science,Academic Programs
What is the purpose of the FUOYE Screening Portal,The purpose of the FUOYE Screening Portal is to verify the O'level results and other necessary documents of prospective students who applied to Federal University Oye-Ekiti in the 2019 Unified Tertiary and Matriculation Examination,University Structure
How can candidates access the FUOYE Screening Portal,Candidates can access the FUOYE Screening Portal by visiting the university's website and navigating to the portal link,Website and Portal
What documents are required to be uploaded to the FUOYE Screening Portal,Candidates are expected to scan and upload their original O'level results and other necessary documents to the FUOYE Screening Portal,Examinations and Results
What is the process of uploading documents to the FUOYE Screening Portal,To upload documents to the FUOYE Screening Portal; candidates are required to scan their original O'level results and other necessary documents; then visit the university's website; navigate to the portal link and follow the instructions to upload the documents,Website and Portal
What is the significance of the FUOYE Screening Portal for prospective students,The FUOYE Screening Portal is significant for prospective students as it is the platform for the verification of their O'level results and other necessary documents,General Information
What year's Unified Tertiary and Matriculation Examination does the FUOYE Screening Portal apply to,The FUOYE Screening Portal applies to the 2019 Unified Tertiary and Matriculation Examination,Examinations and Results
